job_title,employment_type,experience_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,work_year,remote_ratio
Data Architect,Full-Time,Senior,180000,United States Dollar,United States,180000,United States,Medium,2023,
Data Architect,Full-Time,Senior,115000,United States Dollar,United States,115000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,186600,United States Dollar,United States,186600,United States,Medium,2023,
Data Analyst,Full-Time,Senior,119800,United States Dollar,United States,119800,United States,Medium,2023,
Data Engineer,Full-Time,Senior,75000,United States Dollar,United States,75000,United States,Medium,2023,
Data Architect,Full-Time,Senior,200000,United States Dollar,United States,200000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,280000,United States Dollar,United States,280000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,200000,United States Dollar,United States,200000,United States,Medium,2023,
ML Engineer,Full-Time,Senior,383910,United States Dollar,United States,383910,United States,Medium,2023,
ML Engineer,Full-Time,Senior,315850,United States Dollar,United States,315850,United States,Medium,2023,
Data Scientist,Full-Time,Senior,235000,United States Dollar,United States,235000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,204000,United States Dollar,United States,204000,United States,Medium,2023,
Applied Scientist,Full-Time,Mid,198000,United States Dollar,United States,198000,United States,Medium,2023,
Applied Scientist,Full-Time,Mid,132000,United States Dollar,United States,132000,United States,Medium,2023,
Data Scientist,Full-Time,Mid,141600,United States Dollar,United States,141600,United States,Medium,2023,
Data Scientist,Full-Time,Mid,94400,United States Dollar,United States,94400,United States,Medium,2023,
Data Engineer,Full-Time,Mid,135000,United States Dollar,United States,135000,United States,Medium,2023,
Data Engineer,Full-Time,Mid,108000,United States Dollar,United States,108000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,209450,United States Dollar,United States,209450,United States,Medium,2023,
Data Scientist,Full-Time,Senior,167560,United States Dollar,United States,167560,United States,Medium,2023,
Staff Machine Learning Engineer,Full-Time,Senior,185000,United States Dollar,United States,185000,United States,Medium,2021,
Staff Data Scientist,Full-Time,Senior,164000,United States Dollar,United States,164000,United States,Medium,2020,
Data Engineer,Full-Time,Senior,122000,United States Dollar,United States,122000,United States,Medium,2023,
Data Engineer,Full-Time,Entry,80000,United States Dollar,United States,80000,United States,Medium,2023,
Data Engineer,Full-Time,Entry,52500,United States Dollar,United States,52500,United States,Medium,2023,
Data Scientist,Full-Time,Senior,238000,United States Dollar,United States,238000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,149500,United States Dollar,United States,149500,United States,Medium,2023,
Data Scientist,Full-Time,Senior,258000,United States Dollar,United States,258000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,186600,United States Dollar,United States,186600,United States,Medium,2023,
Data Engineer,Full-Time,Senior,116500,United States Dollar,United States,116500,United States,Medium,2023,
Data Engineer,Full-Time,Senior,220000,United States Dollar,United States,220000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,228000,United States Dollar,United States,228000,United States,Medium,2023,
Data Engineer,Full-Time,Mid,50000,British Pound Sterling,United Kingdom,61520,United Kingdom,Medium,2023,
Data Engineer,Full-Time,Mid,35000,British Pound Sterling,United Kingdom,43064,United Kingdom,Medium,2023,
Applied Scientist,Full-Time,Senior,175000,United States Dollar,United States,175000,United States,Medium,2023,
Applied Scientist,Full-Time,Senior,145000,United States Dollar,United States,145000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,195000,United States Dollar,United States,195000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,140000,United States Dollar,United States,140000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,180000,United States Dollar,United States,180000,United States,Medium,2023,
Research Scientist,Full-Time,Mid,220000,United States Dollar,United States,220000,United States,Medium,2023,
Research Scientist,Full-Time,Mid,190000,United States Dollar,United States,190000,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,105000,Euro,Germany,113366,Germany,Large,2023,
Consultant Data Engineer,Contract,Senior,160000,Canadian Dollar,Canada,118539,Canada,Large,2023,
Data Analyst,Full-Time,Mid,70000,British Pound Sterling,United Kingdom,86128,United Kingdom,Large,2023,
BI Developer,Full-Time,Senior,167500,United States Dollar,United States,167500,United States,Medium,2023,
BI Developer,Full-Time,Senior,106500,United States Dollar,United States,106500,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,146000,United States Dollar,United Kingdom,146000,United Kingdom,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,97400,United States Dollar,United Kingdom,97400,United Kingdom,Medium,2023,
Data Scientist,Full-Time,Senior,278700,United States Dollar,United States,278700,United States,Medium,2023,
Data Scientist,Full-Time,Senior,159300,United States Dollar,United States,159300,United States,Medium,2023,
Data Scientist,Full-Time,Senior,323300,United States Dollar,United States,323300,United States,Medium,2023,
Data Scientist,Full-Time,Senior,184700,United States Dollar,United States,184700,United States,Medium,2023,
Data Analyst,Full-Time,Entry,55000,Canadian Dollar,Canada,40747,Canada,Large,2023,
Data Engineer,Full-Time,Senior,170000,United States Dollar,United States,170000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,120000,United States Dollar,United States,120000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,166364,United States Dollar,United States,166364,United States,Medium,2023,
Data Engineer,Full-Time,Senior,116455,United States Dollar,United States,116455,United States,Medium,2023,
Business Intelligence Analyst,Full-Time,Senior,145000,United States Dollar,United States,145000,United States,Medium,2023,
Business Intelligence Analyst,Full-Time,Senior,125000,United States Dollar,United States,125000,United States,Medium,2023,
Data Engineer,Full-Time,Mid,95000,United States Dollar,United States,95000,United States,Medium,2023,
Data Engineer,Full-Time,Mid,76000,United States Dollar,United States,76000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,160000,United States Dollar,United States,160000,United States,Medium,2023,
