unit_of_measure,sex,sex_1,geo,geopolitical_entity_reporting,time_period,obs_value
THOUSAND PERSONS,M,MALES,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2019,6487.1
THOUSAND PERSONS,M,MALES,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2020,6892.2
THOUSAND PERSONS,M,MALES,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2021,7245.2
THOUSAND PERSONS,M,MALES,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2022,7628.9
THOUSAND PERSONS,M,MALES,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2023,7903.6
THOUSAND PERSONS,M,MALES,EU27_2020,EUROPEAN UNION - 27 COUNTRIES (FROM 2020),2024,8273.9
THOUSAND PERSONS,M,MALES,FI,FINLAND,2004,93.9
THOUSAND PERSONS,M,MALES,FI,FINLAND,2005,97.9
THOUSAND PERSONS,M,MALES,FI,FINLAND,2006,103.8
THOUSAND PERSONS,M,MALES,FI,FINLAND,2007,106.0
THOUSAND PERSONS,M,MALES,FI,FINLAND,2008,104.6
THOUSAND PERSONS,M,MALES,FI,FINLAND,2009,102.7
THOUSAND PERSONS,M,MALES,FI,FINLAND,2010,107.2
THOUSAND PERSONS,M,MALES,FI,FINLAND,2011,114.5
THOUSAND PERSONS,M,MALES,FI,FINLAND,2012,121.0
THOUSAND PERSONS,M,MALES,FI,FINLAND,2013,123.6
THOUSAND PERSONS,M,MALES,FI,FINLAND,2014,121.2
THOUSAND PERSONS,M,MALES,FI,FINLAND,2015,121.2
THOUSAND PERSONS,M,MALES,FI,FINLAND,2016,126.9
THOUSAND PERSONS,M,MALES,FI,FINLAND,2017,132.1
THOUSAND PERSONS,M,MALES,FI,FINLAND,2018,135.8
THOUSAND PERSONS,M,MALES,FI,FINLAND,2019,137.7
THOUSAND PERSONS,M,MALES,FI,FINLAND,2020,146.8
THOUSAND PERSONS,M,MALES,FI,FINLAND,2021,143.0
THOUSAND PERSONS,M,MALES,FI,FINLAND,2022,151.0
THOUSAND PERSONS,M,MALES,FI,FINLAND,2023,156.0
THOUSAND PERSONS,M,MALES,FI,FINLAND,2024,158.4
THOUSAND PERSONS,M,MALES,FR,FRANCE,2004,745.7
THOUSAND PERSONS,M,MALES,FR,FRANCE,2005,800.6
THOUSAND PERSONS,M,MALES,FR,FRANCE,2006,821.5
THOUSAND PERSONS,M,MALES,FR,FRANCE,2007,798.6
THOUSAND PERSONS,M,MALES,FR,FRANCE,2008,805.1
THOUSAND PERSONS,M,MALES,FR,FRANCE,2009,809.9
THOUSAND PERSONS,M,MALES,FR,FRANCE,2010,815.1
THOUSAND PERSONS,M,MALES,FR,FRANCE,2011,562.1
THOUSAND PERSONS,M,MALES,FR,FRANCE,2012,549.3
THOUSAND PERSONS,M,MALES,FR,FRANCE,2013,618.8
THOUSAND PERSONS,M,MALES,FR,FRANCE,2014,709.5
THOUSAND PERSONS,M,MALES,FR,FRANCE,2015,763.0
THOUSAND PERSONS,M,MALES,FR,FRANCE,2016,798.1
THOUSAND PERSONS,M,MALES,FR,FRANCE,2017,830.0
THOUSAND PERSONS,M,MALES,FR,FRANCE,2018,857.0
THOUSAND PERSONS,M,MALES,FR,FRANCE,2019,908.7
THOUSAND PERSONS,M,MALES,FR,FRANCE,2020,974.3
THOUSAND PERSONS,M,MALES,FR,FRANCE,2021,980.0
THOUSAND PERSONS,M,MALES,FR,FRANCE,2022,986.5
THOUSAND PERSONS,M,MALES,FR,FRANCE,2023,1077.5
THOUSAND PERSONS,M,MALES,FR,FRANCE,2024,1125.1
THOUSAND PERSONS,M,MALES,HR,CROATIA,2004,21.1
THOUSAND PERSONS,M,MALES,HR,CROATIA,2005,23.4
THOUSAND PERSONS,M,MALES,HR,CROATIA,2006,23.4
THOUSAND PERSONS,M,MALES,HR,CROATIA,2007,29.2
THOUSAND PERSONS,M,MALES,HR,CROATIA,2008,32.6
THOUSAND PERSONS,M,MALES,HR,CROATIA,2009,32.6
THOUSAND PERSONS,M,MALES,HR,CROATIA,2010,29.4
THOUSAND PERSONS,M,MALES,HR,CROATIA,2011,34.1
THOUSAND PERSONS,M,MALES,HR,CROATIA,2012,33.5
THOUSAND PERSONS,M,MALES,HR,CROATIA,2013,32.5
THOUSAND PERSONS,M,MALES,HR,CROATIA,2014,37.7
THOUSAND PERSONS,M,MALES,HR,CROATIA,2015,37.1
THOUSAND PERSONS,M,MALES,HR,CROATIA,2016,45.3
THOUSAND PERSONS,M,MALES,HR,CROATIA,2017,44.5
THOUSAND PERSONS,M,MALES,HR,CROATIA,2018,46.4
THOUSAND PERSONS,M,MALES,HR,CROATIA,2019,42.3
THOUSAND PERSONS,M,MALES,HR,CROATIA,2020,48.2
THOUSAND PERSONS,M,MALES,HR,CROATIA,2021,46.1
THOUSAND PERSONS,M,MALES,HR,CROATIA,2022,53.5
THOUSAND PERSONS,M,MALES,HR,CROATIA,2023,58.4
THOUSAND PERSONS,M,MALES,HR,CROATIA,2024,66.0
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2004,106.2
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2005,102.1
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2006,113.5
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2007,113.9
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2008,113.0
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2009,101.4
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2010,99.3
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2011,92.3
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2012,110.6
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2013,123.1
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2014,127.4
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2015,134.5
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2016,137.4
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2017,143.6
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2018,151.4
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2019,135.0
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2020,148.4
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2021,157.1
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2022,168.8
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2023,168.6
THOUSAND PERSONS,M,MALES,HU,HUNGARY,2024,179.1
THOUSAND PERSONS,M,MALES,IE,IRELAND,2004,44.3
THOUSAND PERSONS,M,MALES,IE,IRELAND,2005,44.9
THOUSAND PERSONS,M,MALES,IE,IRELAND,2006,45.2
THOUSAND PERSONS,M,MALES,IE,IRELAND,2007,52.4
THOUSAND PERSONS,M,MALES,IE,IRELAND,2008,52.4
THOUSAND PERSONS,M,MALES,IE,IRELAND,2009,51.6
THOUSAND PERSONS,M,MALES,IE,IRELAND,2010,53.4
THOUSAND PERSONS,M,MALES,IE,IRELAND,2011,67.7
THOUSAND PERSONS,M,MALES,IE,IRELAND,2012,69.4
THOUSAND PERSONS,M,MALES,IE,IRELAND,2013,70.4
THOUSAND PERSONS,M,MALES,IE,IRELAND,2014,74.7
THOUSAND PERSONS,M,MALES,IE,IRELAND,2015,76.1
THOUSAND PERSONS,M,MALES,IE,IRELAND,2016,82.1
THOUSAND PERSONS,M,MALES,IE,IRELAND,2017,85.7
THOUSAND PERSONS,M,MALES,IE,IRELAND,2018,87.2
THOUSAND PERSONS,M,MALES,IE,IRELAND,2019,88.9
THOUSAND PERSONS,M,MALES,IE,IRELAND,2020,102.8
THOUSAND PERSONS,M,MALES,IE,IRELAND,2021,122.2
THOUSAND PERSONS,M,MALES,IE,IRELAND,2022,126.6
THOUSAND PERSONS,M,MALES,IE,IRELAND,2023,126.3
THOUSAND PERSONS,M,MALES,IE,IRELAND,2024,131.2
THOUSAND PERSONS,M,MALES,IS,ICELAND,2011,5.1
THOUSAND PERSONS,M,MALES,IS,ICELAND,2012,4.6
THOUSAND PERSONS,M,MALES,IS,ICELAND,2013,5.6
THOUSAND PERSONS,M,MALES,IS,ICELAND,2014,5.8
THOUSAND PERSONS,M,MALES,IS,ICELAND,2015,6.3
THOUSAND PERSONS,M,MALES,IS,ICELAND,2016,6.8
THOUSAND PERSONS,M,MALES,IS,ICELAND,2017,7.6
THOUSAND PERSONS,M,MALES,IS,ICELAND,2018,7.2
THOUSAND PERSONS,M,MALES,IS,ICELAND,2019,7.0
THOUSAND PERSONS,M,MALES,IS,ICELAND,2020,7.2
THOUSAND PERSONS,M,MALES,IS,ICELAND,2021,5.9
THOUSAND PERSONS,M,MALES,IS,ICELAND,2022,7.2
THOUSAND PERSONS,M,MALES,IS,ICELAND,2023,8.0
THOUSAND PERSONS,M,MALES,IS,ICELAND,2024,7.9
THOUSAND PERSONS,M,MALES,IT,ITALY,2004,540.1
THOUSAND PERSONS,M,MALES,IT,ITALY,2005,555.5
THOUSAND PERSONS,M,MALES,IT,ITALY,2006,578.7
THOUSAND PERSONS,M,MALES,IT,ITALY,2007,586.5
THOUSAND PERSONS,M,MALES,IT,ITALY,2008,602.5
THOUSAND PERSONS,M,MALES,IT,ITALY,2009,612.0
THOUSAND PERSONS,M,MALES,IT,ITALY,2010,596.5
THOUSAND PERSONS,M,MALES,IT,ITALY,2011,577.5
THOUSAND PERSONS,M,MALES,IT,ITALY,2012,591.4
THOUSAND PERSONS,M,MALES,IT,ITALY,2013,613.5
THOUSAND PERSONS,M,MALES,IT,ITALY,2014,622.2
THOUSAND PERSONS,M,MALES,IT,ITALY,2015,623.6
THOUSAND PERSONS,M,MALES,IT,ITALY,2016,642.2
THOUSAND PERSONS,M,MALES,IT,ITALY,2017,649.0
THOUSAND PERSONS,M,MALES,IT,ITALY,2018,693.7
THOUSAND PERSONS,M,MALES,IT,ITALY,2019,693.0
THOUSAND PERSONS,M,MALES,IT,ITALY,2020,690.3
THOUSAND PERSONS,M,MALES,IT,ITALY,2021,712.8
THOUSAND PERSONS,M,MALES,IT,ITALY,2022,755.6
THOUSAND PERSONS,M,MALES,IT,ITALY,2023,818.7
THOUSAND PERSONS,M,MALES,IT,ITALY,2024,784.0
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2004,16.6
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2005,15.4
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2006,14.4
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2007,17.6
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2008,15.3
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2009,16.2
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2010,15.3
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2011,18.5
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2012,19.5
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2013,19.3
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2014,19.2
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2015,22.4
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2016,25.7
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2017,27.4
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2018,28.0
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2019,31.8
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2020,34.0
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2021,40.0
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2022,47.7
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2023,56.5
THOUSAND PERSONS,M,MALES,LT,LITHUANIA,2024,63.5
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2004,6.3
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2005,6.2
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2006,5.8
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2007,6.3
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2008,8.9
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2009,8.5
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2010,8.9
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2011,8.6
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2012,10.6
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2013,10.0
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2014,11.2
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2015,11.1
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2016,11.9
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2017,12.5
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2018,14.5
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2019,15.1
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2020,14.9
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2021,16.5
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2022,19.1
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2023,20.3
THOUSAND PERSONS,M,MALES,LU,LUXEMBOURG,2024,21.6
THOUSAND PERSONS,M,MALES,LV,LATVIA,2004,18.9
THOUSAND PERSONS,M,MALES,LV,LATVIA,2005,16.9
THOUSAND PERSONS,M,MALES,LV,LATVIA,2006,19.8
THOUSAND PERSONS,M,MALES,LV,LATVIA,2007,20.0
THOUSAND PERSONS,M,MALES,LV,LATVIA,2008,19.9
THOUSAND PERSONS,M,MALES,LV,LATVIA,2009,17.0
THOUSAND PERSONS,M,MALES,LV,LATVIA,2010,16.5
THOUSAND PERSONS,M,MALES,LV,LATVIA,2011,16.5
THOUSAND PERSONS,M,MALES,LV,LATVIA,2012,15.5
THOUSAND PERSONS,M,MALES,LV,LATVIA,2013,16.7
THOUSAND PERSONS,M,MALES,LV,LATVIA,2014,16.8
THOUSAND PERSONS,M,MALES,LV,LATVIA,2015,17.9
THOUSAND PERSONS,M,MALES,LV,LATVIA,2016,17.9
THOUSAND PERSONS,M,MALES,LV,LATVIA,2017,18.8
THOUSAND PERSONS,M,MALES,LV,LATVIA,2018,18.6
THOUSAND PERSONS,M,MALES,LV,LATVIA,2019,21.5
THOUSAND PERSONS,M,MALES,LV,LATVIA,2020,24.9
THOUSAND PERSONS,M,MALES,LV,LATVIA,2021,25.5
THOUSAND PERSONS,M,MALES,LV,LATVIA,2022,30.4
THOUSAND PERSONS,M,MALES,LV,LATVIA,2023,29.9
THOUSAND PERSONS,M,MALES,LV,LATVIA,2024,31.6
THOUSAND PERSONS,M,MALES,ME,MONTENEGRO,2011,2.9
THOUSAND PERSONS,M,MALES,ME,MONTENEGRO,2012,2.6
THOUSAND PERSONS,M,MALES,ME,MONTENEGRO,2013,3.2
THOUSAND PERSONS,M,MALES,ME,MONTENEGRO,2014,4.2
THOUSAND PERSONS,M,MALES,ME,MONTENEGRO,2015,4.5
THOUSAND PERSONS,M,MALES,ME,MONTENEGRO,2016,4.1
THOUSAND PERSONS,M,MALES,ME,MONTENEGRO,2017,4.0
THOUSAND PERSONS,M,MALES,ME,MONTENEGRO,2018,3.5
THOUSAND PERSONS,M,MALES,ME,MONTENEGRO,2019,3.5
THOUSAND PERSONS,M,MALES,ME,MONTENEGRO,2020,4.6
THOUSAND PERSONS,M,MALES,MK,NORTH MACEDONIA,2011,6.9
THOUSAND PERSONS,M,MALES,MK,NORTH MACEDONIA,2012,6.6
THOUSAND PERSONS,M,MALES,MK,NORTH MACEDONIA,2013,6.9
THOUSAND PERSONS,M,MALES,MK,NORTH MACEDONIA,2014,7.7
THOUSAND PERSONS,M,MALES,MK,NORTH MACEDONIA,2015,10.1
THOUSAND PERSONS,M,MALES,MK,NORTH MACEDONIA,2016,9.5
THOUSAND PERSONS,M,MALES,MK,NORTH MACEDONIA,2017,8.8
THOUSAND PERSONS,M,MALES,MK,NORTH MACEDONIA,2018,9.5
THOUSAND PERSONS,M,MALES,MK,NORTH MACEDONIA,2019,11.8
THOUSAND PERSONS,M,MALES,MK,NORTH MACEDONIA,2020,14.3
THOUSAND PERSONS,M,MALES,MT,MALTA,2004,6.3
THOUSAND PERSONS,M,MALES,MT,MALTA,2005,6.0
THOUSAND PERSONS,M,MALES,MT,MALTA,2006,4.5
THOUSAND PERSONS,M,MALES,MT,MALTA,2007,7.0
THOUSAND PERSONS,M,MALES,MT,MALTA,2008,6.9
THOUSAND PERSONS,M,MALES,MT,MALTA,2009,5.7
THOUSAND PERSONS,M,MALES,MT,MALTA,2010,5.4
THOUSAND PERSONS,M,MALES,MT,MALTA,2011,4.7
THOUSAND PERSONS,M,MALES,MT,MALTA,2012,5.5
THOUSAND PERSONS,M,MALES,MT,MALTA,2013,5.2
THOUSAND PERSONS,M,MALES,MT,MALTA,2014,5.8
THOUSAND PERSONS,M,MALES,MT,MALTA,2015,6.3
THOUSAND PERSONS,M,MALES,MT,MALTA,2016,7.2
THOUSAND PERSONS,M,MALES,MT,MALTA,2017,8.5
THOUSAND PERSONS,M,MALES,MT,MALTA,2018,9.4
THOUSAND PERSONS,M,MALES,MT,MALTA,2019,10.3
THOUSAND PERSONS,M,MALES,MT,MALTA,2020,10.1
THOUSAND PERSONS,M,MALES,MT,MALTA,2021,9.9
THOUSAND PERSONS,M,MALES,MT,MALTA,2022,11.8
THOUSAND PERSONS,M,MALES,MT,MALTA,2023,12.4
THOUSAND PERSONS,M,MALES,MT,MALTA,2024,14.4
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2004,283.2
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2005,268.6
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2006,255.5
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2007,254.7
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2008,265.1
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2009,267.8
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2010,278.5
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2011,328.8
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2012,328.9
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2013,331.9
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2014,342.4
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2015,356.9
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2016,363.0
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2017,363.3
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2018,394.4
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2019,417.4
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2020,434.2
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2021,511.8
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2022,552.1
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2023,546.5
THOUSAND PERSONS,M,MALES,NL,NETHERLANDS,2024,556.1
THOUSAND PERSONS,M,MALES,NO,NORWAY,2011,92.0
THOUSAND PERSONS,M,MALES,NO,NORWAY,2012,95.4
THOUSAND PERSONS,M,MALES,NO,NORWAY,2013,99.1
THOUSAND PERSONS,M,MALES,NO,NORWAY,2014,99.3
THOUSAND PERSONS,M,MALES,NO,NORWAY,2015,96.0
THOUSAND PERSONS,M,MALES,NO,NORWAY,2016,92.7
THOUSAND PERSONS,M,MALES,NO,NORWAY,2017,99.3
THOUSAND PERSONS,M,MALES,NO,NORWAY,2018,95.4
THOUSAND PERSONS,M,MALES,NO,NORWAY,2019,100.2
THOUSAND PERSONS,M,MALES,NO,NORWAY,2020,110.0
THOUSAND PERSONS,M,MALES,NO,NORWAY,2021,120.9
THOUSAND PERSONS,M,MALES,NO,NORWAY,2022,118.0
THOUSAND PERSONS,M,MALES,NO,NORWAY,2023,120.7
THOUSAND PERSONS,M,MALES,NO,NORWAY,2024,125.7
THOUSAND PERSONS,M,MALES,PL,POLAND,2004,234.2
THOUSAND PERSONS,M,MALES,PL,POLAND,2005,256.1
THOUSAND PERSONS,M,MALES,PL,POLAND,2006,282.0
THOUSAND PERSONS,M,MALES,PL,POLAND,2007,313.2
THOUSAND PERSONS,M,MALES,PL,POLAND,2008,332.0
THOUSAND PERSONS,M,MALES,PL,POLAND,2009,349.5
THOUSAND PERSONS,M,MALES,PL,POLAND,2010,331.0
THOUSAND PERSONS,M,MALES,PL,POLAND,2011,304.7
THOUSAND PERSONS,M,MALES,PL,POLAND,2012,330.3
THOUSAND PERSONS,M,MALES,PL,POLAND,2013,346.0
THOUSAND PERSONS,M,MALES,PL,POLAND,2014,355.9
THOUSAND PERSONS,M,MALES,PL,POLAND,2015,366.8
THOUSAND PERSONS,M,MALES,PL,POLAND,2016,369.6
THOUSAND PERSONS,M,MALES,PL,POLAND,2017,384.9
THOUSAND PERSONS,M,MALES,PL,POLAND,2018,418.3
THOUSAND PERSONS,M,MALES,PL,POLAND,2019,469.1
THOUSAND PERSONS,M,MALES,PL,POLAND,2020,504.8
THOUSAND PERSONS,M,MALES,PL,POLAND,2021,529.2
THOUSAND PERSONS,M,MALES,PL,POLAND,2022,536.7
THOUSAND PERSONS,M,MALES,PL,POLAND,2023,602.8
THOUSAND PERSONS,M,MALES,PL,POLAND,2024,636.6
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2004,82.1
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2005,92.7
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2006,102.1
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2007,105.1
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2008,103.9
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2009,104.5
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2010,101.5
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2011,74.5
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2012,81.4
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2013,90.6
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2014,117.8
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2015,108.5
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2016,113.6
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2017,110.6
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2018,123.6
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2019,144.7
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2020,150.0
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2021,171.6
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2022,175.2
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2023,183.3
THOUSAND PERSONS,M,MALES,PT,PORTUGAL,2024,202.5
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2005,84.5
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2006,128.4
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2007,142.8
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2008,136.1
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2009,130.4
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2010,115.2
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2011,97.9
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2012,109.7
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2013,104.9
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2014,109.9
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2015,117.2
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2016,123.6
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2017,137.7
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2018,145.4
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2019,151.4
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2020,150.3
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2021,150.8
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2022,161.1
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2023,145.8
THOUSAND PERSONS,M,MALES,RO,ROMANIA,2024,161.2
THOUSAND PERSONS,M,MALES,RS,SERBIA,2013,35.1
THOUSAND PERSONS,M,MALES,RS,SERBIA,2014,43.1
THOUSAND PERSONS,M,MALES,RS,SERBIA,2015,47.3
THOUSAND PERSONS,M,MALES,RS,SERBIA,2016,49.2
THOUSAND PERSONS,M,MALES,RS,SERBIA,2017,50.1
THOUSAND PERSONS,M,MALES,RS,SERBIA,2018,55.3
THOUSAND PERSONS,M,MALES,RS,SERBIA,2019,58.5
THOUSAND PERSONS,M,MALES,RS,SERBIA,2020,59.6
THOUSAND PERSONS,M,MALES,RS,SERBIA,2021,73.1
THOUSAND PERSONS,M,MALES,RS,SERBIA,2022,76.2
THOUSAND PERSONS,M,MALES,RS,SERBIA,2023,93.9
THOUSAND PERSONS,M,MALES,RS,SERBIA,2024,95.3
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2004,191.7
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2005,209.3
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2006,210.0
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2007,218.2
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2008,228.1
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2009,225.5
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2010,227.5
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2011,209.2
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2012,217.7
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2013,214.9
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2014,223.9
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2015,238.2
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2016,246.1
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2017,263.2
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2018,274.1
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2019,286.3
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2020,298.8
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2021,317.0
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2022,344.8
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2023,353.5
THOUSAND PERSONS,M,MALES,SE,SWEDEN,2024,343.2
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2004,20.6
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2005,23.9
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2006,25.9
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2007,25.2
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2008,26.9
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2009,27.9
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2010,26.8
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2011,28.1
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2012,26.5
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2013,26.6
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2014,27.8
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2015,27.7
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2016,26.6
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2017,30.3
THOUSAND PERSONS,M,MALES,SI,SLOVENIA,2018,32.7
