structure,structure_id,structure_name,freq,time_frequency,isco08,international_standard_classification_of_occupations_2008_isco_08,unit,unit_of_measure,geo,geopolitical_entity_reporting,time_period,time,obs_value,observation_value,obs_flag,observation_status_flag_v2_structure,conf_status,confidentiality_status_flag
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,CH,Switzerland,2025-Q2,,2.0,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,CY,Cyprus,2020-Q1,,5.8,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,CY,Cyprus,2020-Q3,,4.0,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,CY,Cyprus,2020-Q4,,3.8,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,CY,Cyprus,2021-Q1,,3.7,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,CY,Cyprus,2021-Q2,,4.2,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,CY,Cyprus,2021-Q3,,4.0,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,CY,Cyprus,2021-Q4,,3.8,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,CY,Cyprus,2022-Q1,,4.0,,,,,
dataflow,ESTAT:ISOC_SK_OJA2(1.0),Distribution by occupation (ISCO-08) of the labour market demand for ICT specialists in online job advertisements - experimental statistics,Q,Quarterly,OC133,Information and communications technology service managers,PC,Percentage,CY,Cyprus,2022-Q2,,4.3,,,,,
