unit_of_measure,geo,geopolitical_entity_reporting,time_period,obs_value,Geopolitical entity (reporting)
PERCENTAGE,DK,DENMARK,2024-Q2,5.8,Denmark
PERCENTAGE,DK,DENMARK,2024-Q3,5.3,Denmark
PERCENTAGE,DK,DENMARK,2024-Q4,5.3,Denmark
PERCENTAGE,DK,DENMARK,2025-Q1,5.1,Denmark
PERCENTAGE,DK,DENMARK,2025-Q2,4.7,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2019-Q4,13.5,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2020-Q1,14.2,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2020-Q2,13.4,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2020-Q3,10.9,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2020-Q4,8.0,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2021-Q1,7.0,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2021-Q2,5.9,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2021-Q3,5.8,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2021-Q4,5.7,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2022-Q1,5.5,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2022-Q2,5.4,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2022-Q3,5.3,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2022-Q4,5.4,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2023-Q1,5.9,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2023-Q2,7.1,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2023-Q3,7.7,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2023-Q4,7.8,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2024-Q1,8.1,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2024-Q2,7.9,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2024-Q3,7.5,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2024-Q4,7.3,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2025-Q1,6.9,Denmark
PERCENTAGE,DK,HOVEDSTADEN,2025-Q2,6.1,Denmark
PERCENTAGE,DK,SJÆLLAND,2019-Q4,1.7,Denmark
PERCENTAGE,DK,SJÆLLAND,2020-Q1,3.3,Denmark
PERCENTAGE,DK,SJÆLLAND,2020-Q2,2.4,Denmark
PERCENTAGE,DK,SJÆLLAND,2020-Q3,3.4,Denmark
PERCENTAGE,DK,SJÆLLAND,2020-Q4,2.6,Denmark
PERCENTAGE,DK,SJÆLLAND,2021-Q1,2.7,Denmark
PERCENTAGE,DK,SJÆLLAND,2021-Q2,1.5,Denmark
PERCENTAGE,DK,SJÆLLAND,2021-Q3,2.2,Denmark
PERCENTAGE,DK,SJÆLLAND,2021-Q4,2.9,Denmark
PERCENTAGE,DK,SJÆLLAND,2022-Q1,3.0,Denmark
PERCENTAGE,DK,SJÆLLAND,2022-Q2,3.1,Denmark
PERCENTAGE,DK,SJÆLLAND,2022-Q3,3.0,Denmark
PERCENTAGE,DK,SJÆLLAND,2022-Q4,3.1,Denmark
PERCENTAGE,DK,SJÆLLAND,2023-Q1,3.2,Denmark
PERCENTAGE,DK,SJÆLLAND,2023-Q2,3.3,Denmark
PERCENTAGE,DK,SJÆLLAND,2023-Q3,3.4,Denmark
PERCENTAGE,DK,SJÆLLAND,2023-Q4,3.5,Denmark
PERCENTAGE,DK,SJÆLLAND,2024-Q1,3.4,Denmark
PERCENTAGE,DK,SJÆLLAND,2024-Q2,3.1,Denmark
PERCENTAGE,DK,SJÆLLAND,2024-Q3,3.0,Denmark
PERCENTAGE,DK,SJÆLLAND,2024-Q4,3.0,Denmark
PERCENTAGE,DK,SJÆLLAND,2025-Q1,3.0,Denmark
PERCENTAGE,DK,SJÆLLAND,2025-Q2,3.2,Denmark
PERCENTAGE,DK,SYDDANMARK,2019-Q4,6.6,Denmark
PERCENTAGE,DK,SYDDANMARK,2020-Q1,5.9,Denmark
PERCENTAGE,DK,SYDDANMARK,2020-Q2,5.6,Denmark
PERCENTAGE,DK,SYDDANMARK,2020-Q3,5.1,Denmark
PERCENTAGE,DK,SYDDANMARK,2020-Q4,3.6,Denmark
PERCENTAGE,DK,SYDDANMARK,2021-Q1,2.9,Denmark
PERCENTAGE,DK,SYDDANMARK,2021-Q2,2.9,Denmark
PERCENTAGE,DK,SYDDANMARK,2021-Q3,3.2,Denmark
PERCENTAGE,DK,SYDDANMARK,2021-Q4,3.4,Denmark
PERCENTAGE,DK,SYDDANMARK,2022-Q1,3.8,Denmark
PERCENTAGE,DK,SYDDANMARK,2022-Q2,4.0,Denmark
PERCENTAGE,DK,SYDDANMARK,2022-Q3,4.2,Denmark
PERCENTAGE,DK,SYDDANMARK,2022-Q4,4.2,Denmark
PERCENTAGE,DK,SYDDANMARK,2023-Q1,4.3,Denmark
PERCENTAGE,DK,SYDDANMARK,2023-Q2,4.4,Denmark
PERCENTAGE,DK,SYDDANMARK,2023-Q3,4.6,Denmark
PERCENTAGE,DK,SYDDANMARK,2023-Q4,4.4,Denmark
PERCENTAGE,DK,SYDDANMARK,2024-Q1,4.5,Denmark
PERCENTAGE,DK,SYDDANMARK,2024-Q2,4.8,Denmark
PERCENTAGE,DK,SYDDANMARK,2024-Q3,4.5,Denmark
PERCENTAGE,DK,SYDDANMARK,2024-Q4,4.6,Denmark
PERCENTAGE,DK,SYDDANMARK,2025-Q1,4.5,Denmark
PERCENTAGE,DK,SYDDANMARK,2025-Q2,4.1,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2019-Q4,6.7,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2020-Q1,6.4,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2020-Q2,5.3,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2020-Q3,5.7,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2020-Q4,5.0,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2021-Q1,3.5,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2021-Q2,4.0,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2021-Q3,3.6,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2021-Q4,4.1,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2022-Q1,4.1,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2022-Q2,4.2,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2022-Q3,4.3,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2022-Q4,4.5,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2023-Q1,5.1,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2023-Q2,5.8,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2023-Q3,6.1,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2023-Q4,6.0,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2024-Q1,6.0,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2024-Q2,5.9,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2024-Q3,5.6,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2024-Q4,5.6,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2025-Q1,5.4,Denmark
PERCENTAGE,DK,MIDTJYLLAND,2025-Q2,4.8,Denmark
PERCENTAGE,DK,NORDJYLLAND,2019-Q4,0.8,Denmark
PERCENTAGE,DK,NORDJYLLAND,2020-Q1,4.0,Denmark
PERCENTAGE,DK,NORDJYLLAND,2020-Q2,4.3,Denmark
PERCENTAGE,DK,NORDJYLLAND,2020-Q3,4.4,Denmark
PERCENTAGE,DK,NORDJYLLAND,2020-Q4,2.5,Denmark
PERCENTAGE,DK,NORDJYLLAND,2021-Q1,2.9,Denmark
PERCENTAGE,DK,NORDJYLLAND,2021-Q2,3.5,Denmark
PERCENTAGE,DK,NORDJYLLAND,2021-Q3,3.2,Denmark
PERCENTAGE,DK,NORDJYLLAND,2021-Q4,3.9,Denmark
PERCENTAGE,DK,NORDJYLLAND,2022-Q1,3.7,Denmark
PERCENTAGE,DK,NORDJYLLAND,2022-Q2,4.0,Denmark
PERCENTAGE,DK,NORDJYLLAND,2022-Q3,3.5,Denmark
PERCENTAGE,DK,NORDJYLLAND,2022-Q4,3.8,Denmark
PERCENTAGE,DK,NORDJYLLAND,2023-Q1,4.1,Denmark
PERCENTAGE,DK,NORDJYLLAND,2023-Q2,4.4,Denmark
PERCENTAGE,DK,NORDJYLLAND,2023-Q3,5.3,Denmark
PERCENTAGE,DK,NORDJYLLAND,2023-Q4,5.2,Denmark
PERCENTAGE,DK,NORDJYLLAND,2024-Q1,5.9,Denmark
PERCENTAGE,DK,NORDJYLLAND,2024-Q2,6.9,Denmark
PERCENTAGE,DK,NORDJYLLAND,2024-Q3,6.3,Denmark
PERCENTAGE,DK,NORDJYLLAND,2024-Q4,6.5,Denmark
PERCENTAGE,DK,NORDJYLLAND,2025-Q1,5.9,Denmark
PERCENTAGE,DK,NORDJYLLAND,2025-Q2,4.7,Denmark
PERCENTAGE,EE,ESTONIA,2019-Q4,8.6,Estonia
PERCENTAGE,EE,ESTONIA,2020-Q1,10.0,Estonia
PERCENTAGE,EE,ESTONIA,2020-Q2,10.2,Estonia
PERCENTAGE,EE,ESTONIA,2020-Q3,9.4,Estonia
PERCENTAGE,EE,ESTONIA,2020-Q4,8.0,Estonia
PERCENTAGE,EE,ESTONIA,2021-Q1,7.2,Estonia
PERCENTAGE,EE,ESTONIA,2021-Q2,7.0,Estonia
PERCENTAGE,EE,ESTONIA,2021-Q3,10.6,Estonia
PERCENTAGE,EE,ESTONIA,2021-Q4,15.4,Estonia
PERCENTAGE,EE,ESTONIA,2022-Q1,15.7,Estonia
PERCENTAGE,EE,ESTONIA,2022-Q2,15.9,Estonia
PERCENTAGE,EE,ESTONIA,2022-Q3,15.4,Estonia
PERCENTAGE,EE,ESTONIA,2022-Q4,12.3,Estonia
PERCENTAGE,EE,ESTONIA,2023-Q1,11.3,Estonia
PERCENTAGE,EE,ESTONIA,2023-Q2,10.6,Estonia
PERCENTAGE,EE,ESTONIA,2023-Q3,10.6,Estonia
PERCENTAGE,EE,ESTONIA,2023-Q4,9.6,Estonia
PERCENTAGE,EE,ESTONIA,2024-Q1,9.1,Estonia
PERCENTAGE,EE,ESTONIA,2024-Q2,8.5,Estonia
PERCENTAGE,EE,ESTONIA,2024-Q3,7.7,Estonia
PERCENTAGE,EE,ESTONIA,2024-Q4,7.6,Estonia
PERCENTAGE,EE,ESTONIA,2025-Q1,7.8,Estonia
PERCENTAGE,EE,ESTONIA,2025-Q2,7.9,Estonia
PERCENTAGE,EE,EESTI,2019-Q4,8.5,Estonia
PERCENTAGE,EE,EESTI,2020-Q1,9.8,Estonia
PERCENTAGE,EE,EESTI,2020-Q2,10.0,Estonia
PERCENTAGE,EE,EESTI,2020-Q3,9.4,Estonia
PERCENTAGE,EE,EESTI,2020-Q4,8.0,Estonia
PERCENTAGE,EE,EESTI,2021-Q1,7.0,Estonia
PERCENTAGE,EE,EESTI,2021-Q2,7.2,Estonia
PERCENTAGE,EE,EESTI,2021-Q3,9.1,Estonia
PERCENTAGE,EE,EESTI,2021-Q4,13.1,Estonia
PERCENTAGE,EE,EESTI,2022-Q1,13.2,Estonia
PERCENTAGE,EE,EESTI,2022-Q2,13.6,Estonia
PERCENTAGE,EE,EESTI,2022-Q3,13.3,Estonia
PERCENTAGE,EE,EESTI,2022-Q4,10.6,Estonia
PERCENTAGE,EE,EESTI,2023-Q1,9.7,Estonia
PERCENTAGE,EE,EESTI,2023-Q2,9.9,Estonia
PERCENTAGE,EE,EESTI,2023-Q3,10.0,Estonia
PERCENTAGE,EE,EESTI,2023-Q4,9.5,Estonia
PERCENTAGE,EE,EESTI,2024-Q1,9.3,Estonia
PERCENTAGE,EE,EESTI,2024-Q2,8.7,Estonia
PERCENTAGE,EE,EESTI,2024-Q3,7.9,Estonia
PERCENTAGE,EE,EESTI,2024-Q4,7.7,Estonia
PERCENTAGE,EE,EESTI,2025-Q1,7.7,Estonia
PERCENTAGE,EE,EESTI,2025-Q2,7.7,Estonia
PERCENTAGE,GR,GREECE,2019-Q4,4.1,Greece
PERCENTAGE,GR,GREECE,2020-Q1,5.1,Greece
PERCENTAGE,GR,GREECE,2020-Q2,8.2,Greece
PERCENTAGE,GR,GREECE,2020-Q3,8.4,Greece
PERCENTAGE,GR,GREECE,2020-Q4,12.3,Greece
PERCENTAGE,GR,GREECE,2021-Q1,14.4,Greece
PERCENTAGE,GR,GREECE,2021-Q2,15.3,Greece
PERCENTAGE,GR,GREECE,2021-Q3,16.5,Greece
PERCENTAGE,GR,GREECE,2021-Q4,15.8,Greece
PERCENTAGE,GR,GREECE,2022-Q1,14.9,Greece
PERCENTAGE,GR,GREECE,2022-Q2,13.8,Greece
PERCENTAGE,GR,GREECE,2022-Q3,13.5,Greece
PERCENTAGE,GR,GREECE,2022-Q4,12.7,Greece
PERCENTAGE,GR,GREECE,2023-Q1,11.5,Greece
PERCENTAGE,GR,GREECE,2023-Q2,10.7,Greece
PERCENTAGE,GR,GREECE,2023-Q3,10.6,Greece
PERCENTAGE,GR,GREECE,2023-Q4,10.1,Greece
PERCENTAGE,GR,GREECE,2024-Q1,9.3,Greece
PERCENTAGE,GR,GREECE,2024-Q2,8.9,Greece
PERCENTAGE,GR,GREECE,2024-Q3,8.2,Greece
PERCENTAGE,GR,GREECE,2024-Q4,8.0,Greece
PERCENTAGE,GR,GREECE,2025-Q1,7.7,Greece
PERCENTAGE,GR,GREECE,2025-Q2,7.3,Greece
PERCENTAGE,GR,ATTIKI,2019-Q4,8.0,Greece
PERCENTAGE,GR,ATTIKI,2020-Q1,9.4,Greece
PERCENTAGE,GR,ATTIKI,2020-Q2,14.7,Greece
PERCENTAGE,GR,ATTIKI,2020-Q3,15.7,Greece
PERCENTAGE,GR,ATTIKI,2020-Q4,19.0,Greece
PERCENTAGE,GR,ATTIKI,2021-Q1,20.7,Greece
PERCENTAGE,GR,ATTIKI,2021-Q2,20.8,Greece
PERCENTAGE,GR,ATTIKI,2021-Q3,20.2,Greece
PERCENTAGE,GR,ATTIKI,2021-Q4,19.9,Greece
PERCENTAGE,GR,ATTIKI,2022-Q1,19.4,Greece
PERCENTAGE,GR,ATTIKI,2022-Q2,18.3,Greece
PERCENTAGE,GR,ATTIKI,2022-Q3,18.3,Greece
PERCENTAGE,GR,ATTIKI,2022-Q4,17.6,Greece
PERCENTAGE,GR,ATTIKI,2023-Q1,16.1,Greece
PERCENTAGE,GR,ATTIKI,2023-Q2,15.6,Greece
PERCENTAGE,GR,ATTIKI,2023-Q3,14.7,Greece
PERCENTAGE,GR,ATTIKI,2023-Q4,14.6,Greece
PERCENTAGE,GR,ATTIKI,2024-Q1,13.7,Greece
PERCENTAGE,GR,ATTIKI,2024-Q2,12.9,Greece
PERCENTAGE,GR,ATTIKI,2024-Q3,11.6,Greece
PERCENTAGE,GR,ATTIKI,2024-Q4,10.4,Greece
PERCENTAGE,GR,ATTIKI,2025-Q1,9.8,Greece
PERCENTAGE,GR,ATTIKI,2025-Q2,9.5,Greece
PERCENTAGE,GR,VOREIO AIGAIO,2019-Q4,0.0,Greece
PERCENTAGE,GR,VOREIO AIGAIO,2020-Q1,0.0,Greece
PERCENTAGE,GR,VOREIO AIGAIO,2020-Q2,0.0,Greece
PERCENTAGE,GR,VOREIO AIGAIO,2022-Q1,5.2,Greece
PERCENTAGE,GR,VOREIO AIGAIO,2022-Q2,6.4,Greece
PERCENTAGE,GR,VOREIO AIGAIO,2023-Q1,6.5,Greece
PERCENTAGE,GR,VOREIO AIGAIO,2023-Q2,6.1,Greece
PERCENTAGE,GR,VOREIO AIGAIO,2023-Q3,3.6,Greece
PERCENTAGE,GR,VOREIO AIGAIO,2023-Q4,3.6,Greece
PERCENTAGE,GR,VOREIO AIGAIO,2024-Q1,3.2,Greece
PERCENTAGE,GR,VOREIO AIGAIO,2025-Q2,4.1,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2020-Q1,1.7,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2020-Q2,2.5,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2020-Q3,2.9,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2020-Q4,40.8,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2021-Q1,45.1,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2021-Q2,46.3,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2021-Q3,44.2,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2021-Q4,38.7,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2022-Q1,30.7,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2022-Q2,20.2,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2022-Q3,19.1,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2022-Q4,17.0,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2023-Q1,14.2,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2023-Q2,12.3,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2023-Q3,10.8,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2023-Q4,9.8,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2024-Q1,7.3,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2024-Q2,6.9,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2024-Q3,5.5,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2024-Q4,5.4,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2025-Q1,5.8,Greece
PERCENTAGE,GR,NOTIO AIGAIO,2025-Q2,4.8,Greece
PERCENTAGE,GR,KRITI,2019-Q4,3.1,Greece
PERCENTAGE,GR,KRITI,2020-Q1,2.0,Greece
PERCENTAGE,GR,KRITI,2020-Q2,6.4,Greece
PERCENTAGE,GR,KRITI,2020-Q3,2.5,Greece
PERCENTAGE,GR,KRITI,2020-Q4,4.4,Greece
PERCENTAGE,GR,KRITI,2021-Q1,5.6,Greece
PERCENTAGE,GR,KRITI,2021-Q2,7.1,Greece
PERCENTAGE,GR,KRITI,2021-Q3,9.0,Greece
PERCENTAGE,GR,KRITI,2021-Q4,7.6,Greece
PERCENTAGE,GR,KRITI,2022-Q1,8.5,Greece
PERCENTAGE,GR,KRITI,2022-Q2,6.4,Greece
PERCENTAGE,GR,KRITI,2022-Q3,6.5,Greece
PERCENTAGE,GR,KRITI,2022-Q4,6.0,Greece
PERCENTAGE,GR,KRITI,2023-Q1,5.7,Greece
PERCENTAGE,GR,KRITI,2023-Q2,5.2,Greece
PERCENTAGE,GR,KRITI,2023-Q3,5.1,Greece
PERCENTAGE,GR,KRITI,2023-Q4,4.5,Greece
PERCENTAGE,GR,KRITI,2024-Q1,4.8,Greece
PERCENTAGE,GR,KRITI,2024-Q2,3.9,Greece
PERCENTAGE,GR,KRITI,2024-Q3,5.3,Greece
PERCENTAGE,GR,KRITI,2024-Q4,4.8,Greece
PERCENTAGE,GR,KRITI,2025-Q1,5.7,Greece
PERCENTAGE,GR,KRITI,2025-Q2,6.1,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2020-Q3,1.1,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2020-Q4,2.4,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2021-Q1,2.1,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2021-Q2,2.3,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2021-Q3,5.1,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2021-Q4,7.2,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2022-Q1,4.1,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2022-Q2,8.9,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2022-Q3,7.9,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2022-Q4,3.6,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2023-Q1,3.5,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2023-Q2,3.8,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2023-Q3,5.4,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2023-Q4,4.5,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2024-Q1,1.8,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2024-Q2,3.9,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2024-Q4,5.7,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2025-Q1,5.5,Greece
PERCENTAGE,GR,"ANATOLIKI MAKEDONIA, THRAKI",2025-Q2,3.4,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2019-Q4,2.6,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2020-Q1,2.1,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2020-Q2,2.1,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2020-Q3,2.1,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2020-Q4,3.5,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2021-Q1,10.5,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2021-Q2,11.3,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2021-Q3,15.5,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2021-Q4,16.5,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2022-Q1,14.5,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2022-Q2,13.9,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2022-Q3,13.4,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2022-Q4,11.9,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2023-Q1,12.2,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2023-Q2,11.4,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2023-Q3,10.8,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2023-Q4,10.9,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2024-Q1,10.5,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2024-Q2,11.1,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2024-Q3,12.4,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2024-Q4,11.1,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2025-Q1,10.5,Greece
PERCENTAGE,GR,KENTRIKI MAKEDONIA,2025-Q2,9.9,Greece
PERCENTAGE,GR,DYTIKI MAKEDONIA,2021-Q2,3.9,Greece
PERCENTAGE,GR,DYTIKI MAKEDONIA,2021-Q3,4.7,Greece
PERCENTAGE,GR,DYTIKI MAKEDONIA,2021-Q4,6.6,Greece
PERCENTAGE,GR,DYTIKI MAKEDONIA,2022-Q2,8.7,Greece
PERCENTAGE,GR,DYTIKI MAKEDONIA,2022-Q3,11.2,Greece
PERCENTAGE,GR,DYTIKI MAKEDONIA,2022-Q4,8.3,Greece
PERCENTAGE,GR,DYTIKI MAKEDONIA,2023-Q1,4.9,Greece
PERCENTAGE,GR,DYTIKI MAKEDONIA,2023-Q2,10.1,Greece
PERCENTAGE,GR,DYTIKI MAKEDONIA,2023-Q3,6.4,Greece
PERCENTAGE,GR,DYTIKI MAKEDONIA,2023-Q4,4.8,Greece
PERCENTAGE,GR,DYTIKI MAKEDONIA,2024-Q3,5.2,Greece
PERCENTAGE,GR,DYTIKI MAKEDONIA,2025-Q1,8.4,Greece
PERCENTAGE,GR,IPEIROS,2020-Q3,4.8,Greece
PERCENTAGE,GR,IPEIROS,2021-Q1,8.2,Greece
PERCENTAGE,GR,IPEIROS,2021-Q2,10.2,Greece
PERCENTAGE,GR,IPEIROS,2021-Q3,6.2,Greece
PERCENTAGE,GR,IPEIROS,2021-Q4,6.1,Greece
PERCENTAGE,GR,IPEIROS,2022-Q1,11.8,Greece
PERCENTAGE,GR,IPEIROS,2022-Q2,10.5,Greece
PERCENTAGE,GR,IPEIROS,2022-Q3,8.6,Greece
PERCENTAGE,GR,IPEIROS,2022-Q4,11.4,Greece
PERCENTAGE,GR,IPEIROS,2023-Q1,6.4,Greece
PERCENTAGE,GR,IPEIROS,2023-Q2,6.7,Greece
PERCENTAGE,GR,IPEIROS,2023-Q3,7.1,Greece
PERCENTAGE,GR,IPEIROS,2023-Q4,5.5,Greece
PERCENTAGE,GR,IPEIROS,2024-Q1,5.4,Greece
PERCENTAGE,GR,IPEIROS,2024-Q2,4.6,Greece
PERCENTAGE,GR,IPEIROS,2024-Q3,3.9,Greece
PERCENTAGE,GR,IPEIROS,2024-Q4,4.4,Greece
PERCENTAGE,GR,IPEIROS,2025-Q1,4.9,Greece
PERCENTAGE,GR,IPEIROS,2025-Q2,3.6,Greece
PERCENTAGE,GR,THESSALIA,2019-Q4,3.5,Greece
PERCENTAGE,GR,THESSALIA,2020-Q1,3.5,Greece
PERCENTAGE,GR,THESSALIA,2020-Q2,10.1,Greece
PERCENTAGE,GR,THESSALIA,2020-Q3,13.8,Greece
PERCENTAGE,GR,THESSALIA,2020-Q4,14.0,Greece
PERCENTAGE,GR,THESSALIA,2021-Q1,14.7,Greece
PERCENTAGE,GR,THESSALIA,2021-Q2,15.4,Greece
PERCENTAGE,GR,THESSALIA,2021-Q3,14.7,Greece
PERCENTAGE,GR,THESSALIA,2021-Q4,15.4,Greece
PERCENTAGE,GR,THESSALIA,2022-Q1,15.3,Greece
PERCENTAGE,GR,THESSALIA,2022-Q2,14.7,Greece
PERCENTAGE,GR,THESSALIA,2022-Q3,13.5,Greece
PERCENTAGE,GR,THESSALIA,2022-Q4,13.9,Greece
PERCENTAGE,GR,THESSALIA,2023-Q1,12.0,Greece
PERCENTAGE,GR,THESSALIA,2023-Q2,10.6,Greece
PERCENTAGE,GR,THESSALIA,2023-Q3,9.4,Greece
PERCENTAGE,GR,THESSALIA,2023-Q4,8.9,Greece
PERCENTAGE,GR,THESSALIA,2024-Q1,8.1,Greece
PERCENTAGE,GR,THESSALIA,2024-Q2,8.0,Greece
PERCENTAGE,GR,THESSALIA,2024-Q3,7.5,Greece
PERCENTAGE,GR,THESSALIA,2024-Q4,7.4,Greece
PERCENTAGE,GR,THESSALIA,2025-Q1,8.6,Greece
PERCENTAGE,GR,THESSALIA,2025-Q2,7.6,Greece
PERCENTAGE,GR,IONIA NISIA,2019-Q4,0.0,Greece
PERCENTAGE,GR,IONIA NISIA,2020-Q1,0.0,Greece
PERCENTAGE,GR,IONIA NISIA,2021-Q2,3.5,Greece
PERCENTAGE,GR,IONIA NISIA,2021-Q3,7.9,Greece
PERCENTAGE,GR,IONIA NISIA,2021-Q4,4.9,Greece
PERCENTAGE,GR,IONIA NISIA,2022-Q1,7.4,Greece
PERCENTAGE,GR,IONIA NISIA,2022-Q2,4.9,Greece
PERCENTAGE,GR,IONIA NISIA,2022-Q3,4.5,Greece
PERCENTAGE,GR,IONIA NISIA,2022-Q4,5.1,Greece
PERCENTAGE,GR,IONIA NISIA,2023-Q1,4.7,Greece
PERCENTAGE,GR,IONIA NISIA,2023-Q2,3.5,Greece
