unit_of_measure,geo,geopolitical_entity_reporting,time_period,obs_value,Geopolitical entity (reporting)
PERCENTAGE,AT,WIEN,2021-Q2,21.5,Austria
PERCENTAGE,AT,WIEN,2021-Q3,20.6,Austria
PERCENTAGE,AT,WIEN,2021-Q4,18.9,Austria
PERCENTAGE,AT,WIEN,2022-Q1,18.5,Austria
PERCENTAGE,AT,WIEN,2022-Q2,18.5,Austria
PERCENTAGE,AT,WIEN,2022-Q3,18.9,Austria
PERCENTAGE,AT,WIEN,2022-Q4,19.4,Austria
PERCENTAGE,AT,WIEN,2023-Q1,20.4,Austria
PERCENTAGE,AT,WIEN,2023-Q2,21.1,Austria
PERCENTAGE,AT,WIEN,2023-Q3,21.1,Austria
PERCENTAGE,AT,WIEN,2023-Q4,21.0,Austria
PERCENTAGE,AT,WIEN,2024-Q1,20.3,Austria
PERCENTAGE,AT,WIEN,2024-Q2,19.7,Austria
PERCENTAGE,AT,WIEN,2024-Q3,18.4,Austria
PERCENTAGE,AT,WIEN,2024-Q4,17.5,Austria
PERCENTAGE,AT,WIEN,2025-Q1,17.0,Austria
PERCENTAGE,AT,WIEN,2025-Q2,16.5,Austria
PERCENTAGE,AT,KÄRNTEN,2019-Q4,5.6,Austria
PERCENTAGE,AT,KÄRNTEN,2020-Q1,5.9,Austria
PERCENTAGE,AT,KÄRNTEN,2020-Q2,6.0,Austria
PERCENTAGE,AT,KÄRNTEN,2020-Q3,6.8,Austria
PERCENTAGE,AT,KÄRNTEN,2020-Q4,7.2,Austria
PERCENTAGE,AT,KÄRNTEN,2021-Q1,8.0,Austria
PERCENTAGE,AT,KÄRNTEN,2021-Q2,7.9,Austria
PERCENTAGE,AT,KÄRNTEN,2021-Q3,8.3,Austria
PERCENTAGE,AT,KÄRNTEN,2021-Q4,7.9,Austria
PERCENTAGE,AT,KÄRNTEN,2022-Q1,7.5,Austria
PERCENTAGE,AT,KÄRNTEN,2022-Q2,7.9,Austria
PERCENTAGE,AT,KÄRNTEN,2022-Q3,8.4,Austria
PERCENTAGE,AT,KÄRNTEN,2022-Q4,8.9,Austria
PERCENTAGE,AT,KÄRNTEN,2023-Q1,9.9,Austria
PERCENTAGE,AT,KÄRNTEN,2023-Q2,9.2,Austria
PERCENTAGE,AT,KÄRNTEN,2023-Q3,8.4,Austria
PERCENTAGE,AT,KÄRNTEN,2023-Q4,8.7,Austria
PERCENTAGE,AT,KÄRNTEN,2024-Q1,8.8,Austria
PERCENTAGE,AT,KÄRNTEN,2024-Q2,8.9,Austria
PERCENTAGE,AT,KÄRNTEN,2024-Q3,9.0,Austria
PERCENTAGE,AT,KÄRNTEN,2024-Q4,8.3,Austria
PERCENTAGE,AT,KÄRNTEN,2025-Q1,7.9,Austria
PERCENTAGE,AT,KÄRNTEN,2025-Q2,8.1,Austria
PERCENTAGE,AT,STEIERMARK,2019-Q4,11.4,Austria
PERCENTAGE,AT,STEIERMARK,2020-Q1,11.4,Austria
PERCENTAGE,AT,STEIERMARK,2020-Q2,12.0,Austria
PERCENTAGE,AT,STEIERMARK,2020-Q3,12.4,Austria
PERCENTAGE,AT,STEIERMARK,2020-Q4,13.0,Austria
PERCENTAGE,AT,STEIERMARK,2021-Q1,13.5,Austria
PERCENTAGE,AT,STEIERMARK,2021-Q2,12.6,Austria
PERCENTAGE,AT,STEIERMARK,2021-Q3,11.5,Austria
PERCENTAGE,AT,STEIERMARK,2021-Q4,10.1,Austria
PERCENTAGE,AT,STEIERMARK,2022-Q1,9.7,Austria
PERCENTAGE,AT,STEIERMARK,2022-Q2,10.5,Austria
PERCENTAGE,AT,STEIERMARK,2022-Q3,11.1,Austria
PERCENTAGE,AT,STEIERMARK,2022-Q4,11.3,Austria
PERCENTAGE,AT,STEIERMARK,2023-Q1,11.5,Austria
PERCENTAGE,AT,STEIERMARK,2023-Q2,11.4,Austria
PERCENTAGE,AT,STEIERMARK,2023-Q3,11.8,Austria
PERCENTAGE,AT,STEIERMARK,2023-Q4,12.1,Austria
PERCENTAGE,AT,STEIERMARK,2024-Q1,12.3,Austria
PERCENTAGE,AT,STEIERMARK,2024-Q2,12.4,Austria
PERCENTAGE,AT,STEIERMARK,2024-Q3,12.2,Austria
PERCENTAGE,AT,STEIERMARK,2024-Q4,11.8,Austria
PERCENTAGE,AT,STEIERMARK,2025-Q1,11.8,Austria
PERCENTAGE,AT,STEIERMARK,2025-Q2,12.0,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2019-Q4,10.7,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2020-Q1,10.3,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2020-Q2,11.0,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2020-Q3,11.7,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2020-Q4,13.2,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2021-Q1,14.1,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2021-Q2,13.0,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2021-Q3,11.7,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2021-Q4,9.8,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2022-Q1,9.2,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2022-Q2,9.5,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2022-Q3,9.8,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2022-Q4,10.1,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2023-Q1,10.7,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2023-Q2,11.2,Austria
