unit_of_measure,geo,geopolitical_entity_reporting,time_period,obs_value
PERCENTAGE,AT,AUSTRIA,2019-Q4,11.9
PERCENTAGE,AT,AUSTRIA,2020-Q1,12.0
PERCENTAGE,AT,AUSTRIA,2020-Q2,12.9
PERCENTAGE,AT,AUSTRIA,2020-Q3,13.6
PERCENTAGE,AT,AUSTRIA,2020-Q4,14.8
PERCENTAGE,AT,AUSTRIA,2021-Q1,15.4
PERCENTAGE,AT,AUSTRIA,2021-Q2,14.4
PERCENTAGE,AT,AUSTRIA,2021-Q3,13.5
PERCENTAGE,AT,AUSTRIA,2021-Q4,12.2
PERCENTAGE,AT,AUSTRIA,2022-Q1,11.9
PERCENTAGE,AT,AUSTRIA,2022-Q2,12.4
PERCENTAGE,AT,AUSTRIA,2022-Q3,13.0
PERCENTAGE,AT,AUSTRIA,2022-Q4,13.0
PERCENTAGE,AT,AUSTRIA,2023-Q1,13.7
PERCENTAGE,AT,AUSTRIA,2023-Q2,14.1
PERCENTAGE,AT,AUSTRIA,2023-Q3,14.1
PERCENTAGE,AT,AUSTRIA,2023-Q4,14.0
PERCENTAGE,AT,AUSTRIA,2024-Q1,13.8
PERCENTAGE,AT,AUSTRIA,2024-Q2,13.6
PERCENTAGE,AT,AUSTRIA,2024-Q3,12.9
PERCENTAGE,AT,AUSTRIA,2024-Q4,12.4
PERCENTAGE,AT,AUSTRIA,2025-Q1,12.0
PERCENTAGE,AT,AUSTRIA,2025-Q2,11.8
PERCENTAGE,AT11,BURGENLAND,2019-Q4,0.5
PERCENTAGE,AT11,BURGENLAND,2020-Q1,4.0
PERCENTAGE,AT11,BURGENLAND,2020-Q2,4.6
PERCENTAGE,AT11,BURGENLAND,2020-Q3,5.1
PERCENTAGE,AT11,BURGENLAND,2020-Q4,6.2
PERCENTAGE,AT11,BURGENLAND,2021-Q1,5.6
PERCENTAGE,AT11,BURGENLAND,2021-Q2,7.2
PERCENTAGE,AT11,BURGENLAND,2021-Q3,6.7
PERCENTAGE,AT11,BURGENLAND,2021-Q4,6.5
PERCENTAGE,AT11,BURGENLAND,2022-Q1,7.1
PERCENTAGE,AT11,BURGENLAND,2022-Q2,6.4
PERCENTAGE,AT11,BURGENLAND,2022-Q3,6.9
PERCENTAGE,AT11,BURGENLAND,2022-Q4,7.6
PERCENTAGE,AT11,BURGENLAND,2023-Q1,8.7
PERCENTAGE,AT11,BURGENLAND,2023-Q2,10.5
PERCENTAGE,AT11,BURGENLAND,2023-Q3,10.3
PERCENTAGE,AT11,BURGENLAND,2023-Q4,10.2
PERCENTAGE,AT11,BURGENLAND,2024-Q1,9.5
PERCENTAGE,AT11,BURGENLAND,2024-Q2,10.0
PERCENTAGE,AT11,BURGENLAND,2024-Q3,8.4
PERCENTAGE,AT11,BURGENLAND,2024-Q4,8.8
PERCENTAGE,AT11,BURGENLAND,2025-Q1,9.7
PERCENTAGE,AT11,BURGENLAND,2025-Q2,9.1
PERCENTAGE,AT12,NIEDERÖSTERREICH,2019-Q4,8.1
PERCENTAGE,AT12,NIEDERÖSTERREICH,2020-Q1,7.6
PERCENTAGE,AT12,NIEDERÖSTERREICH,2020-Q2,7.7
PERCENTAGE,AT12,NIEDERÖSTERREICH,2020-Q3,8.3
PERCENTAGE,AT12,NIEDERÖSTERREICH,2020-Q4,8.8
PERCENTAGE,AT12,NIEDERÖSTERREICH,2021-Q1,9.3
PERCENTAGE,AT12,NIEDERÖSTERREICH,2021-Q2,9.3
PERCENTAGE,AT12,NIEDERÖSTERREICH,2021-Q3,8.5
PERCENTAGE,AT12,NIEDERÖSTERREICH,2021-Q4,7.8
PERCENTAGE,AT12,NIEDERÖSTERREICH,2022-Q1,7.4
PERCENTAGE,AT12,NIEDERÖSTERREICH,2022-Q2,7.3
PERCENTAGE,AT12,NIEDERÖSTERREICH,2022-Q3,7.9
PERCENTAGE,AT12,NIEDERÖSTERREICH,2022-Q4,7.9
PERCENTAGE,AT12,NIEDERÖSTERREICH,2023-Q1,8.6
PERCENTAGE,AT12,NIEDERÖSTERREICH,2023-Q2,9.2
PERCENTAGE,AT12,NIEDERÖSTERREICH,2023-Q3,8.9
PERCENTAGE,AT12,NIEDERÖSTERREICH,2023-Q4,8.6
PERCENTAGE,AT12,NIEDERÖSTERREICH,2024-Q1,8.2
PERCENTAGE,AT12,NIEDERÖSTERREICH,2024-Q2,8.1
PERCENTAGE,AT12,NIEDERÖSTERREICH,2024-Q3,8.1
PERCENTAGE,AT12,NIEDERÖSTERREICH,2024-Q4,8.1
PERCENTAGE,AT12,NIEDERÖSTERREICH,2025-Q1,7.7
PERCENTAGE,AT12,NIEDERÖSTERREICH,2025-Q2,7.5
PERCENTAGE,AT13,WIEN,2019-Q4,19.6
PERCENTAGE,AT13,WIEN,2020-Q1,19.4
PERCENTAGE,AT13,WIEN,2020-Q2,20.6
PERCENTAGE,AT13,WIEN,2020-Q3,21.0
PERCENTAGE,AT13,WIEN,2020-Q4,22.1
PERCENTAGE,AT13,WIEN,2021-Q1,22.7
PERCENTAGE,AT13,WIEN,2021-Q2,21.5
PERCENTAGE,AT13,WIEN,2021-Q3,20.6
PERCENTAGE,AT13,WIEN,2021-Q4,18.9
PERCENTAGE,AT13,WIEN,2022-Q1,18.5
PERCENTAGE,AT13,WIEN,2022-Q2,18.5
PERCENTAGE,AT13,WIEN,2022-Q3,18.9
PERCENTAGE,AT13,WIEN,2022-Q4,19.4
PERCENTAGE,AT13,WIEN,2023-Q1,20.4
PERCENTAGE,AT13,WIEN,2023-Q2,21.1
PERCENTAGE,AT13,WIEN,2023-Q3,21.1
PERCENTAGE,AT13,WIEN,2023-Q4,21.0
PERCENTAGE,AT13,WIEN,2024-Q1,20.3
PERCENTAGE,AT13,WIEN,2024-Q2,19.7
PERCENTAGE,AT13,WIEN,2024-Q3,18.4
PERCENTAGE,AT13,WIEN,2024-Q4,17.5
PERCENTAGE,AT13,WIEN,2025-Q1,17.0
PERCENTAGE,AT13,WIEN,2025-Q2,16.5
PERCENTAGE,AT21,KÄRNTEN,2019-Q4,5.6
PERCENTAGE,AT21,KÄRNTEN,2020-Q1,5.9
PERCENTAGE,AT21,KÄRNTEN,2020-Q2,6.0
PERCENTAGE,AT21,KÄRNTEN,2020-Q3,6.8
PERCENTAGE,AT21,KÄRNTEN,2020-Q4,7.2
PERCENTAGE,AT21,KÄRNTEN,2021-Q1,8.0
PERCENTAGE,AT21,KÄRNTEN,2021-Q2,7.9
PERCENTAGE,AT21,KÄRNTEN,2021-Q3,8.3
PERCENTAGE,AT21,KÄRNTEN,2021-Q4,7.9
PERCENTAGE,AT21,KÄRNTEN,2022-Q1,7.5
PERCENTAGE,AT21,KÄRNTEN,2022-Q2,7.9
PERCENTAGE,AT21,KÄRNTEN,2022-Q3,8.4
PERCENTAGE,AT21,KÄRNTEN,2022-Q4,8.9
PERCENTAGE,AT21,KÄRNTEN,2023-Q1,9.9
PERCENTAGE,AT21,KÄRNTEN,2023-Q2,9.2
PERCENTAGE,AT21,KÄRNTEN,2023-Q3,8.4
PERCENTAGE,AT21,KÄRNTEN,2023-Q4,8.7
PERCENTAGE,AT21,KÄRNTEN,2024-Q1,8.8
PERCENTAGE,AT21,KÄRNTEN,2024-Q2,8.9
PERCENTAGE,AT21,KÄRNTEN,2024-Q3,9.0
PERCENTAGE,AT21,KÄRNTEN,2024-Q4,8.3
PERCENTAGE,AT21,KÄRNTEN,2025-Q1,7.9
PERCENTAGE,AT21,KÄRNTEN,2025-Q2,8.1
PERCENTAGE,AT22,STEIERMARK,2019-Q4,11.4
PERCENTAGE,AT22,STEIERMARK,2020-Q1,11.4
PERCENTAGE,AT22,STEIERMARK,2020-Q2,12.0
PERCENTAGE,AT22,STEIERMARK,2020-Q3,12.4
PERCENTAGE,AT22,STEIERMARK,2020-Q4,13.0
PERCENTAGE,AT22,STEIERMARK,2021-Q1,13.5
PERCENTAGE,AT22,STEIERMARK,2021-Q2,12.6
PERCENTAGE,AT22,STEIERMARK,2021-Q3,11.5
PERCENTAGE,AT22,STEIERMARK,2021-Q4,10.1
PERCENTAGE,AT22,STEIERMARK,2022-Q1,9.7
PERCENTAGE,AT22,STEIERMARK,2022-Q2,10.5
PERCENTAGE,AT22,STEIERMARK,2022-Q3,11.1
PERCENTAGE,AT22,STEIERMARK,2022-Q4,11.3
PERCENTAGE,AT22,STEIERMARK,2023-Q1,11.5
PERCENTAGE,AT22,STEIERMARK,2023-Q2,11.4
PERCENTAGE,AT22,STEIERMARK,2023-Q3,11.8
PERCENTAGE,AT22,STEIERMARK,2023-Q4,12.1
PERCENTAGE,AT22,STEIERMARK,2024-Q1,12.3
PERCENTAGE,AT22,STEIERMARK,2024-Q2,12.4
PERCENTAGE,AT22,STEIERMARK,2024-Q3,12.2
PERCENTAGE,AT22,STEIERMARK,2024-Q4,11.8
PERCENTAGE,AT22,STEIERMARK,2025-Q1,11.8
PERCENTAGE,AT22,STEIERMARK,2025-Q2,12.0
PERCENTAGE,AT31,OBERÖSTERREICH,2019-Q4,10.7
PERCENTAGE,AT31,OBERÖSTERREICH,2020-Q1,10.3
PERCENTAGE,AT31,OBERÖSTERREICH,2020-Q2,11.0
PERCENTAGE,AT31,OBERÖSTERREICH,2020-Q3,11.7
PERCENTAGE,AT31,OBERÖSTERREICH,2020-Q4,13.2
PERCENTAGE,AT31,OBERÖSTERREICH,2021-Q1,14.1
PERCENTAGE,AT31,OBERÖSTERREICH,2021-Q2,13.0
PERCENTAGE,AT31,OBERÖSTERREICH,2021-Q3,11.7
PERCENTAGE,AT31,OBERÖSTERREICH,2021-Q4,9.8
PERCENTAGE,AT31,OBERÖSTERREICH,2022-Q1,9.2
PERCENTAGE,AT31,OBERÖSTERREICH,2022-Q2,9.5
PERCENTAGE,AT31,OBERÖSTERREICH,2022-Q3,9.8
PERCENTAGE,AT31,OBERÖSTERREICH,2022-Q4,10.1
PERCENTAGE,AT31,OBERÖSTERREICH,2023-Q1,10.7
PERCENTAGE,AT31,OBERÖSTERREICH,2023-Q2,11.2
PERCENTAGE,AT31,OBERÖSTERREICH,2023-Q3,11.3
PERCENTAGE,AT31,OBERÖSTERREICH,2023-Q4,11.2
PERCENTAGE,AT31,OBERÖSTERREICH,2024-Q1,11.2
PERCENTAGE,AT31,OBERÖSTERREICH,2024-Q2,11.2
PERCENTAGE,AT31,OBERÖSTERREICH,2024-Q3,11.1
PERCENTAGE,AT31,OBERÖSTERREICH,2024-Q4,11.1
PERCENTAGE,AT31,OBERÖSTERREICH,2025-Q1,11.0
PERCENTAGE,AT31,OBERÖSTERREICH,2025-Q2,10.8
PERCENTAGE,AT32,SALZBURG,2019-Q4,11.2
PERCENTAGE,AT32,SALZBURG,2020-Q1,11.5
PERCENTAGE,AT32,SALZBURG,2020-Q2,12.1
PERCENTAGE,AT32,SALZBURG,2020-Q3,12.4
PERCENTAGE,AT32,SALZBURG,2020-Q4,13.2
PERCENTAGE,AT32,SALZBURG,2021-Q1,13.8
PERCENTAGE,AT32,SALZBURG,2021-Q2,12.6
PERCENTAGE,AT32,SALZBURG,2021-Q3,11.0
PERCENTAGE,AT32,SALZBURG,2021-Q4,8.4
PERCENTAGE,AT32,SALZBURG,2022-Q1,6.8
PERCENTAGE,AT32,SALZBURG,2022-Q2,6.0
PERCENTAGE,AT32,SALZBURG,2022-Q3,6.1
PERCENTAGE,AT32,SALZBURG,2022-Q4,6.7
PERCENTAGE,AT32,SALZBURG,2023-Q1,7.0
PERCENTAGE,AT32,SALZBURG,2023-Q2,6.8
PERCENTAGE,AT32,SALZBURG,2023-Q3,7.4
PERCENTAGE,AT32,SALZBURG,2023-Q4,7.6
PERCENTAGE,AT32,SALZBURG,2024-Q1,7.6
PERCENTAGE,AT32,SALZBURG,2024-Q2,7.4
PERCENTAGE,AT32,SALZBURG,2024-Q3,6.5
PERCENTAGE,AT32,SALZBURG,2024-Q4,6.5
PERCENTAGE,AT32,SALZBURG,2025-Q1,7.4
PERCENTAGE,AT32,SALZBURG,2025-Q2,7.8
PERCENTAGE,AT33,TIROL,2019-Q4,7.2
PERCENTAGE,AT33,TIROL,2020-Q1,7.4
PERCENTAGE,AT33,TIROL,2020-Q2,7.7
PERCENTAGE,AT33,TIROL,2020-Q3,7.9
PERCENTAGE,AT33,TIROL,2020-Q4,8.7
PERCENTAGE,AT33,TIROL,2021-Q1,9.2
PERCENTAGE,AT33,TIROL,2021-Q2,8.4
PERCENTAGE,AT33,TIROL,2021-Q3,8.2
PERCENTAGE,AT33,TIROL,2021-Q4,11.0
PERCENTAGE,AT33,TIROL,2022-Q1,10.7
PERCENTAGE,AT33,TIROL,2022-Q2,11.3
PERCENTAGE,AT33,TIROL,2022-Q3,12.4
PERCENTAGE,AT33,TIROL,2022-Q4,8.3
PERCENTAGE,AT33,TIROL,2023-Q1,8.8
PERCENTAGE,AT33,TIROL,2023-Q2,9.3
PERCENTAGE,AT33,TIROL,2023-Q3,9.4
PERCENTAGE,AT33,TIROL,2023-Q4,9.6
PERCENTAGE,AT33,TIROL,2024-Q1,9.9
PERCENTAGE,AT33,TIROL,2024-Q2,10.0
PERCENTAGE,AT33,TIROL,2024-Q3,8.7
PERCENTAGE,AT33,TIROL,2024-Q4,8.1
PERCENTAGE,AT33,TIROL,2025-Q1,7.7
PERCENTAGE,AT33,TIROL,2025-Q2,7.8
PERCENTAGE,AT34,VORARLBERG,2019-Q4,8.2
PERCENTAGE,AT34,VORARLBERG,2020-Q1,8.1
PERCENTAGE,AT34,VORARLBERG,2020-Q2,8.8
PERCENTAGE,AT34,VORARLBERG,2020-Q3,9.0
PERCENTAGE,AT34,VORARLBERG,2020-Q4,10.0
PERCENTAGE,AT34,VORARLBERG,2021-Q1,10.9
PERCENTAGE,AT34,VORARLBERG,2021-Q2,10.6
PERCENTAGE,AT34,VORARLBERG,2021-Q3,10.6
PERCENTAGE,AT34,VORARLBERG,2021-Q4,10.2
PERCENTAGE,AT34,VORARLBERG,2022-Q1,10.4
PERCENTAGE,AT34,VORARLBERG,2022-Q2,10.9
PERCENTAGE,AT34,VORARLBERG,2022-Q3,11.0
PERCENTAGE,AT34,VORARLBERG,2022-Q4,11.2
PERCENTAGE,AT34,VORARLBERG,2023-Q1,11.1
PERCENTAGE,AT34,VORARLBERG,2023-Q2,11.0
PERCENTAGE,AT34,VORARLBERG,2023-Q3,11.0
PERCENTAGE,AT34,VORARLBERG,2023-Q4,11.4
PERCENTAGE,AT34,VORARLBERG,2024-Q1,11.5
PERCENTAGE,AT34,VORARLBERG,2024-Q2,11.1
PERCENTAGE,AT34,VORARLBERG,2024-Q3,10.4
PERCENTAGE,AT34,VORARLBERG,2024-Q4,9.4
PERCENTAGE,AT34,VORARLBERG,2025-Q1,9.0
PERCENTAGE,AT34,VORARLBERG,2025-Q2,8.8
PERCENTAGE,BE,BELGIUM,2019-Q4,8.2
PERCENTAGE,BE,BELGIUM,2020-Q1,8.3
PERCENTAGE,BE,BELGIUM,2020-Q2,8.2
PERCENTAGE,BE,BELGIUM,2020-Q3,8.1
PERCENTAGE,BE,BELGIUM,2020-Q4,8.3
PERCENTAGE,BE,BELGIUM,2021-Q1,8.5
PERCENTAGE,BE,BELGIUM,2021-Q2,9.1
PERCENTAGE,BE,BELGIUM,2021-Q3,9.0
PERCENTAGE,BE,BELGIUM,2021-Q4,9.0
PERCENTAGE,BE,BELGIUM,2022-Q1,8.5
PERCENTAGE,BE,BELGIUM,2022-Q2,7.9
PERCENTAGE,BE,BELGIUM,2022-Q3,7.8
PERCENTAGE,BE,BELGIUM,2022-Q4,7.8
PERCENTAGE,BE,BELGIUM,2023-Q1,7.9
PERCENTAGE,BE,BELGIUM,2023-Q2,8.0
PERCENTAGE,BE,BELGIUM,2023-Q3,7.8
PERCENTAGE,BE,BELGIUM,2023-Q4,7.1
PERCENTAGE,BE,BELGIUM,2024-Q1,6.5
PERCENTAGE,BE,BELGIUM,2024-Q2,6.0
PERCENTAGE,BE,BELGIUM,2024-Q3,5.3
PERCENTAGE,BE,BELGIUM,2024-Q4,5.3
PERCENTAGE,BE,BELGIUM,2025-Q1,5.3
PERCENTAGE,BE,BELGIUM,2025-Q2,5.4
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2019-Q4,18.4
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2020-Q1,18.2
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2020-Q2,18.2
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2020-Q3,17.9
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2020-Q4,18.4
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2021-Q1,18.6
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2021-Q2,17.7
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2021-Q3,17.1
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2021-Q4,16.3
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2022-Q1,15.4
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2022-Q2,14.9
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2022-Q3,14.8
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2022-Q4,15.0
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2023-Q1,15.3
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2023-Q2,15.5
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2023-Q3,14.8
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2023-Q4,12.0
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2024-Q1,10.2
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2024-Q2,9.0
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2024-Q3,7.6
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2024-Q4,8.1
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2025-Q1,8.9
PERCENTAGE,BE10,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2025-Q2,9.4
PERCENTAGE,BE21,PROV. ANTWERPEN,2019-Q4,8.5
PERCENTAGE,BE21,PROV. ANTWERPEN,2020-Q1,8.4
PERCENTAGE,BE21,PROV. ANTWERPEN,2020-Q2,8.3
PERCENTAGE,BE21,PROV. ANTWERPEN,2020-Q3,8.1
PERCENTAGE,BE21,PROV. ANTWERPEN,2020-Q4,8.2
PERCENTAGE,BE21,PROV. ANTWERPEN,2021-Q1,8.5
PERCENTAGE,BE21,PROV. ANTWERPEN,2021-Q2,8.5
PERCENTAGE,BE21,PROV. ANTWERPEN,2021-Q3,8.5
PERCENTAGE,BE21,PROV. ANTWERPEN,2021-Q4,8.5
PERCENTAGE,BE21,PROV. ANTWERPEN,2022-Q1,8.0
PERCENTAGE,BE21,PROV. ANTWERPEN,2022-Q2,7.5
PERCENTAGE,BE21,PROV. ANTWERPEN,2022-Q3,7.3
PERCENTAGE,BE21,PROV. ANTWERPEN,2022-Q4,7.1
PERCENTAGE,BE21,PROV. ANTWERPEN,2023-Q1,7.2
PERCENTAGE,BE21,PROV. ANTWERPEN,2023-Q2,7.2
PERCENTAGE,BE21,PROV. ANTWERPEN,2023-Q3,7.1
PERCENTAGE,BE21,PROV. ANTWERPEN,2023-Q4,6.6
PERCENTAGE,BE21,PROV. ANTWERPEN,2024-Q1,6.0
PERCENTAGE,BE21,PROV. ANTWERPEN,2024-Q2,5.3
PERCENTAGE,BE21,PROV. ANTWERPEN,2024-Q3,4.5
PERCENTAGE,BE21,PROV. ANTWERPEN,2024-Q4,4.5
PERCENTAGE,BE21,PROV. ANTWERPEN,2025-Q1,4.4
PERCENTAGE,BE21,PROV. ANTWERPEN,2025-Q2,4.5
PERCENTAGE,BE22,PROV. LIMBURG (BE),2019-Q4,4.9
PERCENTAGE,BE22,PROV. LIMBURG (BE),2020-Q1,5.1
PERCENTAGE,BE22,PROV. LIMBURG (BE),2020-Q2,5.2
PERCENTAGE,BE22,PROV. LIMBURG (BE),2020-Q3,5.1
PERCENTAGE,BE22,PROV. LIMBURG (BE),2020-Q4,5.2
PERCENTAGE,BE22,PROV. LIMBURG (BE),2021-Q1,5.3
PERCENTAGE,BE22,PROV. LIMBURG (BE),2021-Q2,6.0
PERCENTAGE,BE22,PROV. LIMBURG (BE),2021-Q3,6.2
PERCENTAGE,BE22,PROV. LIMBURG (BE),2021-Q4,6.2
PERCENTAGE,BE22,PROV. LIMBURG (BE),2022-Q1,6.0
PERCENTAGE,BE22,PROV. LIMBURG (BE),2022-Q2,5.4
PERCENTAGE,BE22,PROV. LIMBURG (BE),2022-Q3,5.4
PERCENTAGE,BE22,PROV. LIMBURG (BE),2022-Q4,5.4
PERCENTAGE,BE22,PROV. LIMBURG (BE),2023-Q1,5.4
PERCENTAGE,BE22,PROV. LIMBURG (BE),2023-Q2,5.3
PERCENTAGE,BE22,PROV. LIMBURG (BE),2023-Q3,5.1
PERCENTAGE,BE22,PROV. LIMBURG (BE),2023-Q4,4.8
PERCENTAGE,BE22,PROV. LIMBURG (BE),2024-Q1,4.4
PERCENTAGE,BE22,PROV. LIMBURG (BE),2024-Q2,4.0
PERCENTAGE,BE22,PROV. LIMBURG (BE),2024-Q3,3.4
PERCENTAGE,BE22,PROV. LIMBURG (BE),2024-Q4,3.2
PERCENTAGE,BE22,PROV. LIMBURG (BE),2025-Q1,3.1
PERCENTAGE,BE22,PROV. LIMBURG (BE),2025-Q2,3.2
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2019-Q4,6.5
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2020-Q1,6.4
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2020-Q2,6.3
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2020-Q3,6.3
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2020-Q4,6.3
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2021-Q1,6.5
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2021-Q2,6.4
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2021-Q3,6.5
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2021-Q4,6.5
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2022-Q1,6.3
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2022-Q2,6.1
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2022-Q3,6.1
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2022-Q4,6.1
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2023-Q1,6.2
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2023-Q2,6.2
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2023-Q3,6.0
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2023-Q4,5.6
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2024-Q1,5.1
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2024-Q2,4.6
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2024-Q3,4.2
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2024-Q4,4.3
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2025-Q1,4.3
PERCENTAGE,BE23,PROV. OOST-VLAANDEREN,2025-Q2,4.4
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2019-Q4,8.5
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2020-Q1,8.6
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2020-Q2,8.7
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2020-Q3,8.5
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2020-Q4,8.5
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2021-Q1,8.9
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2021-Q2,8.5
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2021-Q3,8.5
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2021-Q4,8.4
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2022-Q1,7.9
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2022-Q2,7.9
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2022-Q3,7.9
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2022-Q4,8.0
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2023-Q1,7.9
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2023-Q2,7.9
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2023-Q3,7.6
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2023-Q4,7.0
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2024-Q1,6.4
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2024-Q2,5.6
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2024-Q3,4.9
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2024-Q4,4.9
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2025-Q1,4.9
PERCENTAGE,BE24,PROV. VLAAMS-BRABANT,2025-Q2,5.0
PERCENTAGE,BE25,PROV. WEST-VLAANDEREN,2019-Q4,5.8
PERCENTAGE,BE25,PROV. WEST-VLAANDEREN,2020-Q1,5.8
PERCENTAGE,BE25,PROV. WEST-VLAANDEREN,2020-Q2,5.8
PERCENTAGE,BE25,PROV. WEST-VLAANDEREN,2020-Q3,5.9
PERCENTAGE,BE25,PROV. WEST-VLAANDEREN,2020-Q4,6.1
PERCENTAGE,BE25,PROV. WEST-VLAANDEREN,2021-Q1,6.3
PERCENTAGE,BE25,PROV. WEST-VLAANDEREN,2021-Q2,7.9
PERCENTAGE,BE25,PROV. WEST-VLAANDEREN,2021-Q3,8.1
PERCENTAGE,BE25,PROV. WEST-VLAANDEREN,2021-Q4,8.1
PERCENTAGE,BE25,PROV. WEST-VLAANDEREN,2022-Q1,8.0
PERCENTAGE,BE25,PROV. WEST-VLAANDEREN,2022-Q2,7.0
PERCENTAGE,BE25,PROV. WEST-VLAANDEREN,2022-Q3,6.9
PERCENTAGE,BE25,PROV. WEST-VLAANDEREN,2022-Q4,6.9
PERCENTAGE,BE25,PROV. WEST-VLAANDEREN,2023-Q1,7.0
