job_title,employment_type,experience_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,work_year,remote_type,role_category,salary_band,international_job
Machine Learning Engineer,FT,SE,317070,USD,United States,317070,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,170730,USD,United States,170730,United States,M,2023,Unknown,ML / AI Engineer,High,False
Data Engineer,FT,SE,158700,USD,United States,158700,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,123906,USD,United States,123906,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Engineer,FT,SE,166000,USD,United States,166000,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,MI,75000,EUR,Spain,80976,Spain,M,2023,Unknown,Data Engineer,Low,False
Data Engineer,FT,MI,62000,EUR,Spain,66940,Spain,M,2023,Unknown,Data Engineer,Low,False
Data Engineer,FT,Executive,333500,USD,United States,333500,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,Executive,180500,USD,United States,180500,United States,M,2023,Unknown,Data Engineer,High,False
Machine Learning Engineer,FT,SE,242921,USD,United States,242921,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,170045,USD,United States,170045,United States,M,2023,Unknown,ML / AI Engineer,High,False
Data Engineer,FT,MI,62000,GBP,United Kingdom,76284,United Kingdom,M,2023,Unknown,Data Engineer,Low,False
Data Engineer,FT,Executive,257400,USD,United States,257400,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,Executive,210600,USD,United States,210600,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Operations Specialist,FT,MI,65000,USD,United States,65000,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Operations Specialist,FT,MI,50000,USD,United States,50000,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Engineer,FT,SE,293000,USD,United States,293000,United States,M,2023,Unknown,Data Engineer,Very High,False
Director of Data Science,FT,Executive,260000,USD,United States,260000,United States,M,2023,Unknown,Data Scientist,Very High,False
Director of Data Science,FT,Executive,192000,USD,United States,192000,United States,M,2023,Unknown,Data Scientist,Very High,False
Machine Learning Scientist,FT,MI,125000,USD,United States,125000,United States,M,2023,Unknown,ML / AI Engineer,Medium,False
Business Intelligence Data Analyst,FT,EN,99000,USD,United States,99000,United States,L,2023,Unknown,Data Analyst / BI,Medium,False
Machine Learning Engineer,FT,SE,233000,USD,United States,233000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,166000,USD,United States,166000,United States,M,2023,Unknown,ML / AI Engineer,High,False
Data Engineer,FT,SE,185100,USD,United States,185100,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,127600,USD,United States,127600,United States,M,2023,Unknown,Data Engineer,Medium,False
Machine Learning Engineer,FT,SE,241000,USD,United States,241000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,163000,USD,United States,163000,United States,M,2023,Unknown,ML / AI Engineer,High,False
Data Scientist,FT,SE,118000,USD,United States,118000,United States,M,2023,Unknown,Data Scientist,Medium,False
Machine Learning Engineer,FT,SE,311000,USD,United States,311000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,162540,USD,United States,162540,United States,M,2023,Unknown,ML / AI Engineer,High,False
Insight Analyst,FT,MI,42000,GBP,United Kingdom,51676,United Kingdom,M,2023,Unknown,Data Analyst / BI,Low,False
Insight Analyst,FT,MI,35000,GBP,United Kingdom,43064,United Kingdom,M,2023,Unknown,Data Analyst / BI,Low,False
Data Scientist,FT,Executive,258750,USD,United States,258750,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,Executive,145000,USD,United States,145000,United States,M,2023,Unknown,Data Scientist,High,False
Data Scientist,FT,SE,190000,USD,United States,190000,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,165000,USD,United States,165000,United States,M,2023,Unknown,Data Scientist,High,False
Data Engineer,FT,SE,153600,USD,United States,153600,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,106800,USD,United States,106800,United States,M,2023,Unknown,Data Engineer,Medium,False
ETL Developer,FT,SE,182850,USD,United States,182850,United States,M,2023,Unknown,Data Architecture / Infrastructure,High,False
ETL Developer,FT,SE,113000,USD,United States,113000,United States,M,2023,Unknown,Data Architecture / Infrastructure,Medium,False
Data Architect,FT,SE,85000,GBP,United Kingdom,104584,United Kingdom,M,2023,Unknown,Data Architecture / Infrastructure,Medium,False
Data Architect,FT,SE,75000,GBP,United Kingdom,92280,United Kingdom,M,2023,Unknown,Data Architecture / Infrastructure,Medium,False
Data Analyst,FT,MI,126000,USD,United States,126000,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Analyst,FT,MI,86400,USD,United States,86400,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Engineer,FT,SE,232760,USD,United States,232760,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,169280,USD,United States,169280,United States,M,2023,Unknown,Data Engineer,High,False
Data Scientist,FT,SE,240350,USD,United States,240350,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,174800,USD,United States,174800,United States,M,2023,Unknown,Data Scientist,High,False
Data Engineer,FT,SE,154000,USD,United States,154000,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,116000,USD,United States,116000,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Analyst,FT,SE,153600,USD,United States,153600,United States,M,2023,Unknown,Data Analyst / BI,High,False
Data Analyst,FT,SE,107500,USD,United States,107500,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Analyst,FT,MI,94100,USD,United Kingdom,94100,United Kingdom,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Analyst,FT,MI,72400,USD,United Kingdom,72400,United Kingdom,M,2023,Unknown,Data Analyst / BI,Low,False
ML Engineer,FT,SE,178000,USD,United States,178000,United States,M,2023,Unknown,ML / AI Engineer,High,False
ML Engineer,FT,SE,152000,USD,United States,152000,United States,M,2023,Unknown,ML / AI Engineer,High,False
Data Scientist,FT,SE,233200,USD,United States,233200,United States,M,2023,Unknown,Data Scientist,Very High,False
NLP Engineer,FT,SE,210000,USD,United States,210000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
NLP Engineer,FT,SE,160000,USD,United States,160000,United States,M,2023,Unknown,ML / AI Engineer,High,False
Data Analyst,FT,SE,206000,USD,United States,206000,United States,M,2023,Unknown,Data Analyst / BI,Very High,False
Data Engineer,FT,SE,146100,USD,United Kingdom,146100,United Kingdom,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,SE,112400,USD,United Kingdom,112400,United Kingdom,M,2023,Unknown,Data Engineer,Medium,False
Data Specialist,FT,MI,110000,USD,United States,110000,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Scientist,FT,SE,150120,USD,United States,150120,United States,M,2023,Unknown,Data Scientist,High,False
